,pkSeqID,stime,flgs,flgs_number,proto,proto_number,saddr,sport,daddr,dport,pkts,bytes,state,state_number,ltime,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,TnBPSrcIP,TnBPDstIP,TnP_PSrcIP,TnP_PDstIP,TnP_PerProto,TnP_Per_Dport,AR_P_Proto_P_SrcIP,AR_P_Proto_P_DstIP,N_IN_Conn_P_DstIP,N_IN_Conn_P_SrcIP,AR_P_Proto_P_Sport,AR_P_Proto_P_Dport,Pkts_P_State_P_Protocol_P_DestIP,Pkts_P_State_P_Protocol_P_SrcIP,attack,category,subcategory
1650280,1650280,1528102921,e,1,tcp,1,192.168.100.150,54148,192.168.100.3,80,8,1657,RST,1,1528102928,39,6.389842,2.115561,2.115561,4.231123,0,4.231123,5,3,957,700,1.095489,0.625994,0.472688,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25199,1.21662,328,308,1,1,1
1650281,1650281,1528102921,e,1,tcp,1,192.168.100.150,54150,192.168.100.3,80,8,1590,RST,1,1528102928,40,6.38947,2.115747,2.115747,4.231494,0,4.231494,5,3,890,700,1.095553,0.62603,0.472646,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25206,1.21662,328,308,1,1,1
1650282,1650282,1528102921,e,1,tcp,1,192.168.100.150,54152,192.168.100.3,80,8,1493,RST,1,1528102928,41,6.389158,2.115973,2.115973,4.231945,0,4.231945,5,3,793,700,1.095606,0.626061,0.472596,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25212,1.21662,328,308,1,1,1
1650283,1650283,1528102921,e,1,tcp,1,192.168.100.150,54154,192.168.100.3,80,8,1615,RST,1,1528102928,42,6.386446,2.114964,2.114964,4.229928,0,4.229928,5,3,915,700,1.096071,0.626326,0.472821,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25265,1.21662,328,308,1,1,1
1650284,1650284,1528102921,e,1,tcp,1,192.168.100.150,54156,192.168.100.3,80,8,1486,RST,1,1528102928,43,6.386174,2.117682,2.117682,4.235365,0,4.235365,5,3,786,700,1.096118,0.626353,0.472214,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25271,1.21662,328,308,1,1,1
1650285,1650285,1528102921,e,1,tcp,1,192.168.100.150,54158,192.168.100.3,80,8,1373,RST,1,1528102928,44,6.385985,2.11798,2.11798,4.235959,0,4.235959,5,3,673,700,1.09615,0.626372,0.472148,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25274,1.21662,328,308,1,1,1
1650286,1650286,1528102921,e,1,tcp,1,192.168.100.150,54160,192.168.100.3,80,8,1481,RST,1,1528102928,45,6.385725,2.118221,2.118221,4.236442,0,4.236442,5,3,781,700,1.096195,0.626397,0.472094,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25279,1.21662,328,308,1,1,1
1650287,1650287,1528102921,e,1,tcp,1,192.168.100.150,54162,192.168.100.3,80,8,1388,RST,1,1528102928,46,6.38546,2.11846,2.11846,4.236921,0,4.236921,5,3,688,700,1.096241,0.626423,0.472041,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25285,1.21662,328,308,1,1,1
1650288,1650288,1528102921,e,1,tcp,1,192.168.100.150,54164,192.168.100.3,80,8,1428,RST,1,1528102928,47,6.385153,2.1213,2.1213,4.2426,0,4.2426,5,3,728,700,1.096293,0.626453,0.471409,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25291,1.21662,328,308,1,1,1
1650289,1650289,1528102921,e,1,tcp,1,192.168.100.150,54166,192.168.100.3,80,8,1676,RST,1,1528102928,48,6.384635,2.121414,2.121414,4.242828,0,4.242828,5,3,976,700,1.096382,0.626504,0.471384,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25301,1.21662,328,308,1,1,1
1650290,1650290,1528102921,e,1,tcp,1,192.168.100.149,41656,192.168.100.3,80,10,1488,RST,1,1528102935,50,13.439741,4.196931,0.043054,8.393862,4.1539,4.239962,6,4,722,766,0.669656,0.372031,0.323073,3105,59969,20,328,328,700,0.744362,1.21662,40,2,0.744062,1.21662,328,20,1,1,1
1650291,1650291,1528102921,e,1,tcp,1,192.168.100.149,41696,192.168.100.3,80,10,1617,RST,1,1528102935,80,13.428915,0.680333,0.957405,2.040999,0,2.034302,6,4,851,766,0.670196,0.372331,0.263282,3105,59969,20,328,328,700,0.744362,1.21662,40,2,0.744662,1.21662,328,20,1,1,1
1650292,1650292,1528102921,e,1,tcp,1,192.168.100.150,54194,192.168.100.3,80,8,1371,RST,1,1528102928,83,6.36906,0.030409,0.030307,0.060818,0.000102,0.060716,5,3,671,700,1.099063,0.628036,0.314018,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25607,1.21662,328,308,1,1,1
1650293,1650293,1528102921,e,1,tcp,1,192.168.100.150,54196,192.168.100.3,80,8,1494,RST,1,1528102928,84,6.368747,0.030048,0.02995,0.060096,9.80E-05,0.059998,5,3,794,700,1.099117,0.628067,0.314034,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25613,1.21662,328,308,1,1,1
1650294,1650294,1528102921,e,1,tcp,1,192.168.100.150,54198,192.168.100.3,80,8,1451,RST,1,1528102928,85,6.368447,0.027681,0.027588,0.055362,9.30E-05,0.055269,5,3,751,700,1.099169,0.628097,0.314048,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25619,1.21662,328,308,1,1,1
1650295,1650295,1528102921,e,1,tcp,1,192.168.100.150,54200,192.168.100.3,80,8,1550,RST,1,1528102928,86,6.368034,0.027317,0.027213,0.054634,0.000104,0.05453,5,3,850,700,1.09924,0.628137,0.314069,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25627,1.21662,328,308,1,1,1
1650296,1650296,1528102921,e,1,tcp,1,192.168.100.150,54202,192.168.100.3,80,8,1512,RST,1,1528102928,87,6.367701,0.026829,0.026733,0.053659,9.60E-05,0.053563,5,3,812,700,1.099298,0.62817,0.314085,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25634,1.21662,328,308,1,1,1
1650297,1650297,1528102921,e,1,tcp,1,192.168.100.150,54204,192.168.100.3,80,8,1443,RST,1,1528102928,88,6.367416,0.026398,0.026297,0.052796,0.000101,0.052695,5,3,743,700,1.099347,0.628198,0.314099,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.2564,1.21662,328,308,1,1,1
1650298,1650298,1528102921,e,1,tcp,1,192.168.100.150,54206,192.168.100.3,80,8,1418,RST,1,1528102928,89,6.367148,0.024995,0.02489,0.04999,0.000105,0.049885,5,3,718,700,1.099393,0.628225,0.314112,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25645,1.21662,328,308,1,1,1
1650299,1650299,1528102921,e,1,tcp,1,192.168.100.150,54208,192.168.100.3,80,8,1487,RST,1,1528102928,90,6.366956,0.024563,0.024466,0.049127,9.70E-05,0.04903,5,3,787,700,1.099426,0.628244,0.314122,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25649,1.21662,328,308,1,1,1
1650300,1650300,1528102921,e,1,tcp,1,192.168.100.150,54210,192.168.100.3,80,8,1325,RST,1,1528102928,91,6.366736,0.020956,0.020798,0.041911,0.000158,0.041753,5,3,625,700,1.099465,0.628265,0.314133,56864,59969,308,328,328,700,1.26889,1.21662,40,38,1.25653,1.21662,328,308,1,1,1
1650301,1650301,1528102921,e,1,tcp,1,192.168.100.150,54212,192.168.100.3,80,8,1420,RST,1,1528102928,92,6.366437,0.021746,0.021649,0.043492,9.70E-05,0.043395,5,3,720,700,1.099516,0.628295,0.314147,32425,175718,184,1016,1016,1016,1.37294,0.898047,100,21,1.25659,0.898047,1016,184,1,1,1
1650302,1650302,1528102921,e,1,tcp,1,192.168.100.150,54214,192.168.100.3,80,8,1477,RST,1,1528102928,93,6.36615,0.021401,0.021315,0.042801,8.60E-05,0.042715,5,3,777,700,1.099566,0.628323,0.314162,32425,175718,184,1016,1016,1016,1.37294,0.898047,100,21,1.25665,0.898047,1016,184,1,1,1
1650303,1650303,1528102921,e,1,tcp,1,192.168.100.150,54216,192.168.100.3,80,8,1423,RST,1,1528102928,94,6.365823,0.021088,0.020964,0.042176,0.000124,0.042052,5,3,723,700,1.099622,0.628356,0.314178,32425,175718,184,1016,1016,1016,1.37294,0.898047,100,21,1.25671,0.898047,1016,184,1,1,1
1650304,1650304,1528102921,e,1,tcp,1,192.168.100.150,54218,192.168.100.3,80,8,1396,RST,1,1528102928,95,6.365537,0.017797,0.017703,0.035595,9.50E-05,0.0355,5,3,696,700,1.099671,0.628384,0.314192,32425,175718,184,1016,1016,1016,1.37294,0.898047,100,21,1.25677,0.898047,1016,184,1,1,1
1650305,1650305,1528102921,e,1,tcp,1,192.168.100.150,54220,192.168.100.3,80,8,1340,RST,1,1528102928,96,6.365282,0.013806,0.013715,0.027612,9.10E-05,0.027521,5,3,640,700,1.099716,0.628409,0.314204,32425,175718,184,1016,1016,1016,1.37294,0.898047,100,21,1.25682,0.898047,1016,184,1,1,1
1650306,1650306,1528102921,e,1,tcp,1,192.168.100.150,54222,192.168.100.3,80,8,1489,RST,1,1528102928,97,6.364992,0.013403,0.013305,0.026806,9.80E-05,0.026708,5,3,789,700,1.099766,0.628438,0.314219,32425,175718,184,1016,1016,1016,1.37294,0.898047,100,21,1.25688,0.898047,1016,184,1,1,1
1650307,1650307,1528102921,e,1,tcp,1,192.168.100.150,54224,192.168.100.3,80,8,1367,RST,1,1528102928,98,6.36478,0.012973,0.012882,0.025946,9.10E-05,0.025855,5,3,667,700,1.099802,0.628458,0.314229,32425,175718,184,1016,1016,1016,1.37294,0.898047,100,21,1.25692,0.898047,1016,184,1,1,1
1650308,1650308,1528102921,e,1,tcp,1,192.168.100.150,54226,192.168.100.3,80,8,1417,RST,1,1528102928,99,6.364501,0.01252,0.012423,0.025041,9.80E-05,0.024943,5,3,717,700,1.099851,0.628486,0.314243,32425,175718,184,1016,1016,1016,1.37294,0.898047,100,21,1.25697,0.898047,1016,184,1,1,1
1650309,1650309,1528102921,e,1,tcp,1,192.168.100.150,54228,192.168.100.3,80,8,1629,RST,1,1528102928,100,6.364047,0.009847,0.009752,0.019693,9.40E-05,0.019599,5,3,929,700,1.099929,0.628531,0.314265,32425,175718,184,1016,1016,1016,1.37294,0.898047,100,21,1.25706,0.898047,1016,184,1,1,1
1650310,1650310,1528102921,e,1,tcp,1,192.168.100.150,54230,192.168.100.3,80,8,1639,RST,1,1528102928,101,6.363605,0.009026,0.008925,0.018052,0.000101,0.017951,5,3,939,700,1.100005,0.628575,0.314287,32425,175718,184,1016,1016,1016,1.37294,0.898047,100,21,1.25715,0.898047,1016,184,1,1,1
1650311,1650311,1528102921,e,1,tcp,1,192.168.100.149,41698,192.168.100.3,80,10,1662,RST,1,1528102935,102,13.421692,0.67682,0.957093,2.030461,0,2.030354,6,4,896,766,0.670556,0.372531,0.263358,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745063,0.898047,1016,467,1,1,1
1650312,1650312,1528102921,e,1,tcp,1,192.168.100.150,54232,192.168.100.3,80,8,1646,RST,1,1528102928,103,6.36315,0.004371,0.004274,0.008742,9.70E-05,0.008645,5,3,946,700,1.100084,0.628619,0.31431,32425,175718,184,1016,1016,1016,1.37294,0.898047,100,21,1.25724,0.898047,1016,184,1,1,1
1650313,1650313,1528102921,e,1,tcp,1,192.168.100.150,54234,192.168.100.3,80,8,1572,RST,1,1528102928,104,6.362804,0.00176,0.001655,0.00352,0.000105,0.003415,5,3,872,700,1.100144,0.628654,0.314327,32425,175718,184,1016,1016,1016,1.37294,0.898047,100,21,1.25731,0.898047,1016,184,1,1,1
1650314,1650314,1528102921,e,1,tcp,1,192.168.100.150,54236,192.168.100.3,80,8,1407,RST,1,1528102928,105,6.36252,0.001336,0.001239,0.002671,9.70E-05,0.002574,5,3,707,700,1.100193,0.628682,0.314341,32425,175718,184,1016,1016,1016,1.37294,0.898047,100,21,1.25736,0.898047,1016,184,1,1,1
1650315,1650315,1528102921,e,1,tcp,1,192.168.100.149,41700,192.168.100.3,80,10,1589,RST,1,1528102935,106,13.418685,0.655468,0.926882,1.966403,0,1.966277,6,4,823,766,0.670707,0.372615,0.261954,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745229,0.898047,1016,467,1,1,1
1650316,1650316,1528102921,e,1,tcp,1,192.168.100.149,41702,192.168.100.3,80,10,1586,RST,1,1528102935,107,13.41807,0.671497,0.949559,2.014491,0,2.014376,6,4,820,766,0.670737,0.372632,0.263073,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745264,0.898047,1016,467,1,1,1
1650317,1650317,1528102921,e,1,tcp,1,192.168.100.149,41704,192.168.100.3,80,10,1557,RST,1,1528102935,108,13.417662,0.670157,0.947668,2.01047,0,2.010362,6,4,791,766,0.670758,0.372643,0.262989,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745286,0.898047,1016,467,1,1,1
1650318,1650318,1528102921,e,1,tcp,1,192.168.100.149,41706,192.168.100.3,80,10,1511,RST,1,1528102935,109,13.417251,0.655468,0.926897,1.966405,0,1.966299,6,4,745,766,0.670778,0.372655,0.261987,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745309,0.898047,1016,467,1,1,1
1650319,1650319,1528102921,e,1,tcp,1,192.168.100.149,41708,192.168.100.3,80,10,1717,RST,1,1528102935,110,13.416658,0.670164,0.947683,2.010493,0,2.010391,6,4,951,766,0.670808,0.372671,0.263013,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745342,0.898047,1016,467,1,1,1
1650320,1650320,1528102921,e,1,tcp,1,192.168.100.149,41710,192.168.100.3,80,10,1585,RST,1,1528102935,111,13.41614,0.670157,0.947687,2.010471,0,2.010389,6,4,819,766,0.670834,0.372685,0.263025,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745371,0.898047,1016,467,1,1,1
1650321,1650321,1528102921,e,1,tcp,1,192.168.100.149,41712,192.168.100.3,80,10,1481,RST,1,1528102935,112,13.415865,0.670168,0.947697,2.010503,0,2.010414,6,4,715,766,0.670848,0.372693,0.263032,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745386,0.898047,1016,467,1,1,1
1650322,1650322,1528102921,e,1,tcp,1,192.168.100.149,41714,192.168.100.3,80,10,1527,RST,1,1528102935,113,13.415481,0.670172,0.947696,2.010516,0,2.010416,6,4,761,766,0.670867,0.372704,0.263041,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745407,0.898047,1016,467,1,1,1
1650323,1650323,1528102921,e,1,tcp,1,192.168.100.149,41716,192.168.100.3,80,10,1743,RST,1,1528102935,114,13.414945,0.670181,0.947704,2.010544,0,2.010437,6,4,977,766,0.670894,0.372719,0.263054,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745437,0.898047,1016,467,1,1,1
1650324,1650324,1528102921,e,1,tcp,1,192.168.100.149,41718,192.168.100.3,80,10,1634,RST,1,1528102935,115,13.414329,0.670175,0.947711,2.010525,0,2.01044,6,4,868,766,0.670924,0.372736,0.263068,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745471,0.898047,1016,467,1,1,1
1650325,1650325,1528102921,e,1,tcp,1,192.168.100.149,41720,192.168.100.3,80,10,1621,RST,1,1528102935,116,13.413827,0.670184,0.947722,2.010553,0,2.010466,6,4,855,766,0.670949,0.37275,0.26308,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745499,0.898047,1016,467,1,1,1
1650326,1650326,1528102921,e,1,tcp,1,192.168.100.149,41722,192.168.100.3,80,10,1537,RST,1,1528102935,117,13.413434,0.670192,0.947735,2.010576,0,2.010492,6,4,771,766,0.670969,0.372761,0.26309,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745521,0.898047,1016,467,1,1,1
1650327,1650327,1528102921,e,1,tcp,1,192.168.100.149,41724,192.168.100.3,80,10,1467,RST,1,1528102935,118,13.413176,0.668847,0.945836,2.006541,0,2.006461,6,4,701,766,0.670982,0.372768,0.263003,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745536,0.898047,1016,467,1,1,1
1650328,1650328,1528102921,e,1,tcp,1,192.168.100.149,41726,192.168.100.3,80,10,1703,RST,1,1528102935,119,13.412533,0.668854,0.945829,2.006562,0,2.006458,6,4,937,766,0.671014,0.372786,0.263018,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745571,0.898047,1016,467,1,1,1
1650329,1650329,1528102921,e,1,tcp,1,192.168.100.149,41728,192.168.100.3,80,10,1570,RST,1,1528102935,120,13.412209,0.668861,0.945843,2.006582,0,2.006485,6,4,804,766,0.67103,0.372795,0.263026,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745589,0.898047,1016,467,1,1,1
1650330,1650330,1528102921,e,1,tcp,1,192.168.100.149,41730,192.168.100.3,80,10,1542,RST,1,1528102935,121,13.411949,0.66753,0.94398,2.00259,0,2.002519,6,4,776,766,0.671043,0.372802,0.26294,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745604,0.898047,1016,467,1,1,1
1650331,1650331,1528102921,e,1,tcp,1,192.168.100.149,41732,192.168.100.3,80,10,1735,RST,1,1528102935,122,13.411607,0.667538,0.943989,2.002615,0,2.00254,6,4,969,766,0.671061,0.372811,0.262949,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745623,0.898047,1016,467,1,1,1
1650332,1650332,1528102921,e,1,tcp,1,192.168.100.149,41734,192.168.100.3,80,10,1555,RST,1,1528102935,123,13.411333,0.66754,0.943989,2.002619,0,2.002541,6,4,789,766,0.671074,0.372819,0.262955,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745638,0.898047,1016,467,1,1,1
1650333,1650333,1528102921,e,1,tcp,1,192.168.100.149,41736,192.168.100.3,80,10,1526,RST,1,1528102935,124,13.411115,0.667561,0.944007,2.002682,0,2.002588,6,4,760,766,0.671085,0.372825,0.262961,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.74565,0.898047,1016,467,1,1,1
1650334,1650334,1528102921,e,1,tcp,1,192.168.100.149,41738,192.168.100.3,80,10,1513,RST,1,1528102935,125,13.410881,0.667556,0.944009,2.002668,0,2.002587,6,4,747,766,0.671097,0.372832,0.262967,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745663,0.898047,1016,467,1,1,1
1650335,1650335,1528102921,e,1,tcp,1,192.168.100.149,41740,192.168.100.3,80,10,1917,RST,1,1528102935,126,13.41038,0.667564,0.944021,2.002693,0,2.002612,6,4,1151,766,0.671122,0.372846,0.262979,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745691,0.898047,1016,467,1,1,1
1650336,1650336,1528102921,e,1,tcp,1,192.168.100.149,41742,192.168.100.3,80,10,1666,RST,1,1528102935,127,13.410007,0.667564,0.94402,2.002693,0,2.00261,6,4,900,766,0.671141,0.372856,0.262987,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745712,0.898047,1016,467,1,1,1
1650337,1650337,1528102921,e,1,tcp,1,192.168.100.149,41744,192.168.100.3,80,10,1607,RST,1,1528102935,128,13.409715,0.667572,0.944032,2.002716,0,2.002635,6,4,841,766,0.671155,0.372864,0.262995,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745728,0.898047,1016,467,1,1,1
1650338,1650338,1528102921,e,1,tcp,1,192.168.100.149,41746,192.168.100.3,80,10,1564,RST,1,1528102935,129,13.409449,0.666238,0.942141,1.998715,0,1.998627,6,4,798,766,0.671169,0.372871,0.262908,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745743,0.898047,1016,467,1,1,1
1650339,1650339,1528102921,e,1,tcp,1,192.168.100.149,41748,192.168.100.3,80,10,1460,RST,1,1528102935,130,13.409257,0.666243,0.942153,1.998729,0,1.998649,6,4,694,766,0.671178,0.372877,0.262913,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745753,0.898047,1016,467,1,1,1
1650340,1650340,1528102921,e,1,tcp,1,192.168.100.149,41750,192.168.100.3,80,10,1592,RST,1,1528102935,131,13.408975,0.666248,0.942152,1.998743,0,1.998652,6,4,826,766,0.671192,0.372885,0.26292,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745769,0.898047,1016,467,1,1,1
1650341,1650341,1528102921,e,1,tcp,1,192.168.100.149,41752,192.168.100.3,80,10,1688,RST,1,1528102935,132,13.40871,0.658255,0.930848,1.974764,0,1.974672,6,4,922,766,0.671206,0.372892,0.262374,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745784,0.898047,1016,467,1,1,1
1650342,1650342,1528102921,e,1,tcp,1,192.168.100.149,41754,192.168.100.3,80,10,1577,RST,1,1528102935,133,13.4085,0.664886,0.940234,1.994657,0,1.994578,6,4,811,766,0.671216,0.372898,0.262837,76221,175718,467,1016,1016,1016,0.757028,0.898047,100,46,0.745796,0.898047,1016,467,1,1,1
