Title,Genre,Premiere,Runtime,IMDB Score,Language
The Last Laugh,Comedy-drama,"January 11, 2019",98,5.6,2
The Last Paradiso,Romantic drama,"February 5, 2021",107,5.6,2
The Midnight Sky,Science fiction,"December 23, 2020",118,5.6,2
The Paramedic,Thriller,"September 16, 2020",94,5.6,2
The Sleepover,Comedy,"August 21, 2020",103,5.6,2
Vampires vs. the Bronx,Horror comedy,"October 2, 2020",86,5.6,2
Why Did You Kill Me?,Documentary,"April 14, 2021",83,5.6,2
A Week Away,Christian musical,"March 26, 2021",97,5.7,2
Caught by a Wave,Romantic teen drama,"March 25, 2021",99,5.7,2
Christmas Inheritance,Romantic drama,"December 15, 2017",104,5.7,2
Dad Wanted,Family,"September 11, 2020",102,5.7,2
El Camino Christmas,Dark comedy,"December 8, 2017",89,5.7,2
Eli,Horror,"October 18, 2019",98,5.7,2
Ginny Weds Sunny,Romantic comedy,"October 9, 2020",125,5.7,2
Good Sam,Drama,"May 16, 2019",89,5.7,2
Lionheart,Comedy,"January 4, 2019",94,5.7,2
Little Evil,Comedy horror,"September 1, 2017",94,5.7,2
One Take,Documentary,"June 18, 2020",85,5.7,2
"Out of Many, One",Documentary,"December 12, 2018",34,5.7,2
Point Blank,Action,"July 12, 2019",86,5.7,2
Prime Time,Thriller,"April 14, 2021",91,5.7,2
The Do-Over,Action comedy,"May 27, 2016",108,5.7,2
The Holiday Calendar,Romantic comedy,"November 2, 2018",95,5.7,2
The Woman in the Window,Psychological thriller,"May 14, 2021",100,5.7,2
The Wrong Missy,Comedy,"May 13, 2020",90,5.7,2
Velvet Buzzsaw,Thriller,"February 1, 2019",112,5.7,2
Yes Day,Comedy,"March 12, 2021",86,5.7,2
15-Aug,Comedy-drama,"March 29, 2019",124,5.8,2
A California Christmas,Romantic comedy,"December 14, 2020",107,5.8,2
A Christmas Prince,Romantic comedy,"November 17, 2017",92,5.8,2
All Day and a Night,Drama,"May 1, 2020",121,5.8,2
American Son,Drama,"November 1, 2019",90,5.8,2
Barry,Biopic,"December 16, 2016",104,5.8,2
Candy Jar,Comedy,"April 27, 2018",92,5.8,2
Choked: Paisa Bolta Hai,Drama,"June 5, 2020",114,5.8,2
Class of '83,Drama,"August 21, 2020",98,5.8,2
Extinction,Science fiction/Thriller,"July 27, 2018",95,5.8,2
Happy Anniversary,Romantic comedy,"March 30, 2018",78,5.8,2
I Am All Girls,Thriller,"May 14, 2021",107,5.8,2
Let It Snow,Romantic comedy,"November 8, 2019",92,5.8,2
Mascots,Mockumentary,"October 13, 2016",95,5.8,2
Operation Christmas Drop,Romantic comedy,"November 5, 2020",96,5.8,2
Rajma Chawal,Comedy-drama,"November 30, 2018",118,5.8,2
Rich in Love,Romantic comedy,"April 30, 2020",105,5.8,2
Rising High,Satire,"April 17, 2020",94,5.8,2
Rodney King,One-man show,"April 28, 2017",52,5.8,2
Sierra Burgess Is a Loser,Romantic comedy-drama,"September 7, 2018",105,5.8,2
Small Crimes,Dark comedy,"April 28, 2017",95,5.8,2
Special Correspondents,Satire,"April 29, 2016",100,5.8,2
TAU,Science fiction/Thriller,"June 29, 2018",97,5.8,2
The After Party,Comedy,"August 24, 2018",89,5.8,2
The Babysitter: Killer Queen,Comedy/Horror,"September 10, 2020",102,5.8,2
The Claus Family,Fantasy,"December 7, 2020",96,5.8,2
The Kissing Booth 2,Romantic comedy,"July 24, 2020",131,5.8,2
The Perfect Date,Romantic comedy,"April 12, 2019",89,5.8,2
What We Wanted,Drama,"November 11, 2020",93,5.8,2
You've Got This,Romantic comedy,"October 2, 2020",111,5.8,2
6 Balloons,Drama,"April 6, 2018",75,5.9,2
A Fall from Grace,Thriller,"January 17, 2020",120,5.9,2
Amateur,Sports-drama,"April 6, 2018",96,5.9,2
Army of the Dead,Zombie/Heist,"May 21, 2021",148,5.9,2
Cam,Psychological horror,"November 16, 2018",94,5.9,2
Earthquake Bird,Mystery,"November 15, 2019",107,5.9,2
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,"July 16, 2019",32,5.9,2
Horse Girl,Drama,"February 7, 2020",104,5.9,2
Notes from Dunblane: Lesson from a School Shooting,Documentary,"September 28, 2018",23,5.9,2
Maska,Romantic comedy,"March 27, 2020",111,5.9,2
The Decline,Thriller,"March 27, 2020",83,5.9,2
The Minimalists: Less Is Now,Documentary,"January 1, 2021",53,5.9,2
The Polka King,Comedy-drama,"January 12, 2018",95,5.9,2
The Prom,Musical,"December 11, 2020",132,5.9,2
True Memoirs of an International Assassin,Action comedy,"November 11, 2016",98,5.9,2
Ultras,Sports film,"March 20, 2020",108,5.9,2
Come Sunday,Biopic,"April 13, 2018",106,6,2
Forgive Us Our Debts,Drama,"May 4, 2018",104,6,2
iBoy,Science fiction/Thriller,"January 27, 2017",90,6,2
Lovefucked,Drama,"August 9, 2019",106,6,2
Juanita,Drama,"March 8, 2019",90,6,2
Murder Mystery,Comedy mystery,"June 14, 2019",97,6,2
Project Power,Superhero,"August 14, 2020",113,6,2
Rebecca,Romantic thriller,"October 21, 2020",123,6,2
The Christmas Chronicles: Part Two,Christmas comedy,"November 25, 2020",115,6,2
The Kissing Booth,Romantic comedy,"May 11, 2018",105,6,2
The Princess Switch,Romantic comedy,"November 16, 2018",101,6,2
To All the Boys: P.S. I Still Love You,Romantic comedy,"February 12, 2020",102,6,2
War Machine,War-Comedy,"May 26, 2017",122,6,2
6 Underground,Action,"December 13, 2019",128,6.1,2
Between Two Ferns: The Movie,Comedy,"September 20, 2019",82,6.1,2
Burning Sands,Drama,"March 10, 2017",102,6.1,2
Casting JonBenet,Documentary,"April 28, 2017",80,6.1,2
Deidra & Laney Rob a Train,Drama,"March 17, 2017",94,6.1,2
Finding 'Ohana,Family,"January 29, 2021",123,6.1,2
Holidate,Romantic comedy/Holiday,"October 28, 2020",104,6.1,2
Holiday in the Wild,Adventure-romance,"November 1, 2019",85,6.1,2
Hot Girls Wanted,Documentary,"May 29, 2015",84,6.1,2
Like Father,Comedy,"August 3, 2018",103,6.1,2
Lost Girls,Crime drama,"March 13, 2020",95,6.1,2
Otherhood,Comedy,"August 2, 2019",100,6.1,2
Pee-wee's Big Holiday,Adventure,"March 18, 2016",89,6.1,2
Rogue City,Crime drama,"October 30, 2020",116,6.1,2
Sergio,Biopic,"April 17, 2020",118,6.1,2
Stuck Apart,Drama,"January 8, 2021",96,6.1,2
Tersanjung the Movie,Drama,"April 1, 2021",114,6.1,2
The Killer,Western,"November 10, 2017",99,6.1,2
The Lovebirds,Romantic comedy,"May 22, 2020",87,6.1,2
The Most Hated Woman in America,Biopic,"March 24, 2017",92,6.1,2
The Perfection,Horror-thriller,"May 24, 2019",90,6.1,2
Tribhanga – Tedhi Medhi Crazy,Drama,"January 15, 2021",95,6.1,2
Unknown Origins,Thriller,"August 28, 2020",96,6.1,2
Work It,Dance comedy,"August 7, 2020",93,6.1,2
Alien Xmas,Stop Motion,"November 20, 2020",42,6.2,2
Baggio: The Divine Ponytail,Biopic,"May 26, 2021",92,6.2,2
Below Zero,Drama,"January 29, 2021",106,6.2,2
Citation,Drama,"November 6, 2020",151,6.2,2
Crazy Awesome Teachers,Comedy-drama,"August 17, 2020",101,6.2,2
Have You Ever Seen Fireflies?,Comedy,"April 9, 2021",114,6.2,2
High Flying Bird,Sports-drama,"February 8, 2019",90,6.2,2
In the Shadow of the Moon,Thriller,"September 27, 2019",115,6.2,2
Lost Bullet,Thriller,"June 19, 2020",92,6.2,2
Octonauts & the Caves of Sac Actun,Animation,"August 14, 2020",72,6.2,2
Offering to the Storm,Thriller,"July 24, 2020",139,6.2,2
Roxanne Roxanne,Biopic,"March 23, 2018",98,6.2,2
Someone Great,Romantic comedy,"April 19, 2019",92,6.2,2
Spenser Confidential,Action comedy,"March 6, 2020",111,6.2,2
The Land of Steady Habits,Drama,"September 14, 2018",98,6.2,2
The Rachel Divide,Documentary,"April 27, 2018",104,6.2,2
Voyuer ,Documentary,"December 1, 2017",95,6.2,2
Win It All,Comedy,"April 7, 2017",88,6.2,2
1922,Horror/Crime drama,"October 20, 2017",102,6.3,2
A Tale of Two Kitchens,Documentary,"May 22, 2019",30,6.3,2
Alex Strangelove,Romantic comedy,"June 8, 2018",99,6.3,2
Apostle,Horror-thriller,"October 12, 2018",129,6.3,2
Benji,Family film,"March 16, 2018",87,6.3,2
Bright,Urban fantasy,"December 22, 2017",117,6.3,2
Cargo,Drama/Horror,"May 18, 2018",104,6.3,2
Concrete Cowboy,Drama,"April 2, 2021",111,6.3,2
Feel the Beat,Family/Comedy-drama,"June 19, 2020",107,6.3,2
Get the Goat,Comedy,"March 18, 2021",97,6.3,2
I Am Not an Easy Man,Romantic comedy,"April 13, 2018",98,6.3,2
June & Kopi,Drama,"January 28, 2021",90,6.3,2
Music Teacher,Drama,"April 19, 2019",101,6.3,2
Nail Bomber: Manhunt,Documentary,"May 26, 2021",72,6.3,2
Notes for My Son,Drama,"November 24, 2020",83,6.3,2
Polar,Action,"January 25, 2019",118,6.3,2
Porta dos Fundos: The Last Hangover,Comedy,"December 21, 2018",44,6.3,2
Sand Castle,War,"April 21, 2017",113,6.3,2
Shimmer Lake,Crime thriller,"June 9, 2017",86,6.3,2
Spectral,Science fiction/Action,"December 9, 2016",108,6.3,2
The Babysitter,Teen comedy horror,"October 13, 2017",85,6.3,2
The Discovery,Science fiction/Drama,"March 31, 2017",102,6.3,2
The Forest of Love,Drama,"October 11, 2019",151,6.3,2
The Laundromat,Comedy-drama,"October 18, 2019",98,6.3,2
The Legend of Cocaine Island,Documentary,"March 29, 2019",87,6.3,2
The Outsider,Crime drama,"March 9, 2018",120,6.3,2
Time to Hunt,Thriller,"April 23, 2020",134,6.3,2
To All the Boys: Always and Forever,Romantic comedy,"February 12, 2021",109,6.3,2
Travis Scott: Look Mom I Can Fly,Documentary,"August 28, 2019",85,6.3,2
Uncorked,Drama,"March 27, 2020",103,6.3,2
Anelka: Misunderstood,Documentary,"August 5, 2020",94,6.4,2
"Ariana Grande: Excuse Me, I Love You",Concert Film,"December 21, 2020",97,6.4,2
ARQ,Science fiction/Thriller,"September 16, 2016",88,6.4,2
Birders,Documentary,"September 25, 2019",37,6.4,2
Como Caído del Cielo,Musical comedy,"December 24, 2019",112,6.4,2
First Match,Sports-drama,"March 30, 2018",102,6.4,2
Fractured,Thriller,"October 11, 2019",100,6.4,2
Irreplaceable You,Drama,"February 16, 2018",96,6.4,2
Isi & Ossi,Romantic comedy,"February 14, 2020",113,6.4,2
John Was Trying to Contact Aliens,Documentary,"August 20, 2020",16,6.4,2
Layla Majnun,Romantic drama,"February 11, 2021",119,6.4,2
Murder to Mercy: The Cyntoia Brown Story,Documentary,"April 29, 2020",97,6.4,2
My Own Man,Documentary,"December 13, 2014",81,6.4,2
Nappily Ever After,Comedy-drama,"September 21, 2018",98,6.4,2
Over the Moon,Animation/Musical/Adventure,"October 23, 2020",95,6.4,2
Street Flow,Drama,"October 12, 2019",96,6.4,2
Strong Island,Documentary,September 15. 2017,107,6.4,2
Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,"September 27, 2019",41,6.4,2
Take Your Pills,Documentary,"March 16, 2018",87,6.4,2
The Heartbreak Club,Comedy-drama,"January 14, 2021",101,6.4,2
The Mars Generation,Documentary,"May 5, 2017",97,6.4,2
The Occupant,Thriller,"March 25, 2020",103,6.4,2
The Willoughbys,Animation/Comedy/Adventure,"April 22, 2020",90,6.4,2
Triple Frontier,Action-thriller,"March 13, 2019",125,6.4,2
Two Catalonias,Documentary,"September 28, 2018",116,6.4,2
Walk. Ride. Rodeo.,Drama,"March 8, 2019",99,6.4,2
Wheelman,Action thriller,"October 20, 2017",82,6.4,2
When We First Met,Romantic comedy,"February 9, 2018",97,6.4,2
A 3 Minute Hug,Documentary,"October 28, 2019",28,6.5,2
All the Bright Places,Romance,"February 28, 2020",108,6.5,2
All Together Now,Drama,"August 28, 2020",93,6.5,2
Altered Carbon: Resleeved,Anime/Science fiction,"March 19, 2020",74,6.5,2
Antoine Griezmann: The Making of a Legend,Documentary,"March 21, 2019",60,6.5,2
Canvas ,Animation / Short,"December 11, 2020",9,6.5,2
Chadwick Boseman: Portrait of an Artist,Documentary,"April 17, 2021",21,6.5,2
Chopsticks,Comedy,"May 31, 2019",100,6.5,2
Da 5 Bloods,War drama,"June 12, 2020",155,6.5,2
Dolly Parton: A MusiCares Tribute,Documentary,"April 7, 2021",55,6.5,2
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,"June 26, 2020",123,6.5,2
Gerald's Game,Horror thriller,"September 29, 2017",103,6.5,2
His House,Thriller,"October 30, 2020",93,6.5,2
Jingle Jangle: A Christmas Journey,Family/Christmas musical,"November 13, 2020",119,6.5,2
Life Overtakes Me,Documentary,"June 14, 2019",40,6.5,2
Lust Stories,Drama,"June 15, 2018",120,6.5,2
Monster,Drama,"May 7, 2021",98,6.5,2
Mowgli: Legend of the Jungle,Adventure,"December 7, 2018",104,6.5,2
Nobody Knows I'm Here,Drama,"June 24, 2020",91,6.5,2
Nobody Speak: Trials of the Free Press,Documentary,"June 23, 2017",95,6.5,2
Oxygen,Science fiction thriller,"May 12, 2021",101,6.5,2
Set It Up,Romantic comedy,"June 15, 2018",105,6.5,2
The Incredible Jessica James,Comedy,"July 28, 2017",83,6.5,2
Tigertail,Drama,"April 10, 2020",91,6.5,2
Tramps,Romance,"April 21, 2017",83,6.5,2
What Did Jack Do?,Drama / Short,"January 20, 2020",17,6.5,2
Bad Trip,Hidden-camera prank comedy,"March 26, 2021",86,6.6,2
Bird Box,Psychological thriller,"December 21, 2018",124,6.6,2
Bulbbul,Horror,"June 24, 2020",94,6.6,2
Crazy About Her,Romantic comedy,"February 26, 2021",102,6.6,2
Elisa & Marcela,Romance,"June 7, 2019",118,6.6,2
I'll Sleep When I'm Dead,Documentary,"August 19, 2016",79,6.6,2
I'm Thinking of Ending Things,Psychological thriller,"September 4, 2020",134,6.6,2
It Takes a Lunatic,Documentary,"October 25, 2019",126,6.6,2
Milestone,Drama,"May 7, 2021",98,6.6,2
Recovery Boys,Documentary,"June 29, 2018",89,6.6,2
ReMastered: Who Killed Jam Master Jay?,Documentary,"December 7, 2018",58,6.6,2
Shawn Mendes: In Wonder,Documentary,"November 23, 2020",83,6.6,2
Space Sweepers,Science fiction,"February 5, 2021",136,6.6,2
The American Meme,Documentary,"December 7, 2018",98,6.6,2
The Angel,Spy thriller,"September 14, 2018",114,6.6,2
The Crimes That Bind,Crime drama,"August 20, 2020",99,6.6,2
The Red Sea Diving Resort,Spy thriller,"July 31, 2019",130,6.6,2
What Would Sophia Loren Do?,Documentary,"January 15, 2021",32,6.6,2
A Whisker Away,Anime/Fantasy,"June 18, 2020",104,6.7,2
Ajeeb Daastaans,Drama,"April 16, 2021",142,6.7,2
Arlo the Alligator Boy,Animated musical comedy,"April 16, 2021",92,6.7,2
"Bikram: Yogi, Guru, Predator",Documentary,"November 20, 2019",86,6.7,2
Blame!,Anime/Science fiction,"May 20, 2017",106,6.7,3
Blue Miracle,Drama,"May 27, 2021",95,6.7,3
CounterPunch ,Documentary,"June 16, 2017",91,6.7,3
"Crack: Cocaine, Corruption & Conspiracy",Documentary,"January 11, 2021",89,6.7,3
Extraction,Action,"April 24, 2020",117,6.7,3
Giving Voice,Documentary,"December 11, 2020",90,6.7,3
Hillbilly Elegy,Drama,"November 24, 2020",117,6.7,3
Hope Frozen: A Quest to Live Twice,Documentary,"September 15, 2020",80,6.7,3
Imperial Dreams,Drama,"February 3, 2017",87,6.7,3
Just Another Christmas,Comedy,"December 3, 2020",101,6.7,3
Little Miss Sumo,Documentary,"October 28, 2019",19,6.7,3
Malcolm & Marie,Romantic drama,"February 5, 2021",106,6.7,3
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,"February 7, 2017",54,6.7,3
Moxie,Drama,"March 3, 2021",111,6.7,3
Night in Paradise,Drama,"April 9, 2021",132,6.7,3
Paper Lives,Drama,"March 12, 2021",97,6.7,3
Parchis: The Documentary,Documentary,"July 10, 2019",106,6.7,3
Tallulah,Comedy-drama,"July 29, 2016",111,6.7,3
The Old Guard,Superhero/Action,"July 10, 2020",124,6.7,3
Tony Robbins: I Am Not Your Guru,Documentary,July 15. 2016,116,6.7,3
Upstarts,Drama,"October 18, 2019",112,6.7,3
22-Jul,Drama,"October 10, 2018",144,6.8,3
7 años,Drama,"October 28, 2016",76,6.8,3
A Futile and Stupid Gesture,Biographical/Comedy,"January 26, 2018",101,6.8,3
A Life of Speed: The Juan Manuel Fangio Story,Documentary,"March 20, 2020",92,6.8,3
A Love Song for Latasha,Documentary,"September 21, 2020",19,6.8,3
All in My Family,Documentary,"May 3, 2019",39,6.8,3
Always Be My Maybe,Romantic comedy,"May 31, 2019",102,6.8,3
Becoming,Documentary,"May 6, 2020",89,6.8,3
Long Live Brij Mohan,Comedy,"August 3, 2018",105,6.8,3
Calibre,Thriller,"June 29, 2018",101,6.8,3
Death to 2020,Comedy,"December 27, 2020",70,6.8,3
GIMS: On the Record,Documentary,"September 17, 2020",96,6.8,3
Have a Good Trip: Adventures in Psychedelics,Documentary,"May 11, 2020",85,6.8,3
Heroin(e) ,Documentary,"September 12, 2017",39,6.8,3
Mercury 13,Documentary,"April 20, 2018",79,6.8,3
Saving Capitalism,Documentary,"November 21, 2017",73,6.8,3
Serious Men,Drama,"October 2, 2020",114,6.8,3
The Boys in the Band,Drama,"September 30, 2020",121,6.8,3
The Boys in the Band: Something Personal,Aftershow / Interview,"September 30, 2020",28,6.8,3
The Life Ahead,Drama,"November 13, 2020",95,6.8,3
The Other Side of the Wind,Drama,"November 2, 2018",122,6.8,3
The Trader,Documentary,"February 9, 2018",23,6.8,3
To the Bone,Drama,"July 14, 2017",107,6.8,3
Tony Parker: The Final Shot,Documentary,"January 6, 2021",98,6.8,3
AK vs AK,Thriller,"December 24, 2020",108,6.9,3
Amanda Knox,Documentary,"September 30, 2016",92,6.9,3
Bigflo & Oil: Hip Hop Frenzy,Documentary,"October 8, 2020",100,6.9,3
Biggie: I Got a Story to Tell,Documentary,"March 1, 2021",97,6.9,3
Cops and Robbers,Animation / Short,"December 28, 2020",7,6.9,3
I Don't Feel at Home in This World Anymore,Drama,"February 24, 2017",96,6.9,3
Laerte-se,Documentary,"May 19, 2017",100,6.9,3
Mank,Biopic,"December 4, 2020",132,6.9,3
Our Souls at Night,Romance,"September 29, 2017",103,6.9,3
Outlaw King,Historical-epic,"November 9, 2018",121,6.9,3
Pagglait,Comedy-drama,"March 26, 2021",114,6.9,3
ReMastered: Who Shot the Sheriff?,Documentary,"October 12, 2018",57,6.9,3
Seeing Allred,Documentary,"February 9, 2018",95,6.9,3
Spelling the Dream,Documentary,"June 3, 2020",83,6.9,3
The Claudia Kishi Club,Documentary,"July 10, 2020",17,6.9,3
The Half of It,Romance,"May 1, 2020",105,6.9,3
The Highwaymen,Crime drama,"March 29, 2019",131,6.9,3
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,"May 23, 2019",30,6.9,3
The Meyerowitz Stories (New and Selected),Comedy-drama,"October 13, 2017",112,6.9,3
Feminists: What Were They Thinking?,Documentary,"October 12, 2018",86,7,3
